
## AOE_damage_bonus_to_spells:
```
omnissian_axe_2skill_a_In_crowd_weapon_Crus_Assa (ancient)
power_axe_a_In_crowd_weapon_Crus_Assa (ancient)
power_hammer_a_In_crowd_weapon_Crus_Assa (ancient)
power_sword_a_In_crowd_weapon_Crus_Assa (ancient)
signum (godlike)
thunder_hammer_a_In_crowd_weapon_Crus_Assa (ancient)
voltaic_axe_1skill_a_In_crowd_weapon_Crus_Assa (ancient)
voltaic_axe_2skill_a_In_crowd_weapon_Crus_Assa (ancient)
wardrug_basic_a_In_crowd_innoculator (ancient)
```


## Godlike_Damage_on_Shield_Lost:
```
belt_deflector_field_generator_a_Shield_belt (ancient)
belt_personal_void_shield_a_Shield_belt (ancient)
eye_implant (godlike)
```


## Godlike_Damage_per_Berserk:
```
signum (godlike)
```


## Godlike_Damage_per_Enraged:
```
eye_implant (godlike)
main_implant (godlike)
neural_implant (godlike)
```


## Godlike_Damage_per_Enraged_special:
```
arc_sword_a_Enrage_weapon (ancient)
carthean_sword_a_Enrage_weapon (ancient)
greataxe_a_Enrage_weapon (ancient)
signum (godlike)
thunder_hammer_a_Enrage_weapon (ancient)
```


## Godlike_Damage_per_Minion_in_Big_Aura:
```
arc_rifle_1skill (godlike)
arc_rifle_2skill (godlike)
omnissian_axe_1skill (godlike)
omnissian_axe_2skill (godlike)
radium_carbine_1skill (godlike)
radium_carbine_2skill (godlike)
voltaic_axe_1skill (godlike)
voltaic_axe_2skill (godlike)
```


## Godlike_Damage_reduce_in_Berserk:
```
main_implant_b_BIG_main_implant_Godlike_Damage_reduce_in_Berserk (biggodlike)
purity_seal_b_BIG_purity_seal_Godlike_Damage_reduce_in_Berserk (biggodlike)
wardrug_basic_b_BIG_inoculator_Godlike_Damage_reduce_in_Berserk (biggodlike)
```


## Godlike_Damage_reduce_in_Exposed:
```
belt_deflector_field_generator (godlike)
belt_digital_weapons (godlike)
belt_fabricator_scatter_field (godlike)
belt_frag_grenade (godlike)
belt_fuse_delayed_grenade (godlike)
belt_personal_teleporter (godlike)
belt_personal_void_shield (godlike)
belt_psyker (godlike)
belt_refractor_field (godlike)
belt_remote_mine (godlike)
belt_rosarius_force_field (godlike)
belt_stun_grenade (godlike)
belt_stun_mine (godlike)
belt_technomartyr_girdle (godlike)
```


## Godlike_Damage_reduce_in_threat:
```
purity_seal_a_In_crowd_purity (ancient)
purity_seal_b_BIG_purity_seal_Godlike_Damage_reduce_in_threat (biggodlike)
wardrug_basic_b_BIG_inoculator_Godlike_Damage_reduce_in_threat (biggodlike)
```


## Godlike_Damage_reduce_on_Big_Struck:
```
belt_deflector_field_generator (godlike)
belt_digital_weapons (godlike)
belt_fabricator_scatter_field (godlike)
belt_frag_grenade (godlike)
belt_fuse_delayed_grenade (godlike)
belt_personal_teleporter (godlike)
belt_personal_void_shield (godlike)
belt_psyker (godlike)
belt_refractor_field (godlike)
belt_remote_mine (godlike)
belt_rosarius_force_field (godlike)
belt_stun_grenade (godlike)
belt_stun_mine (godlike)
belt_technomartyr_girdle (godlike)
```


## Godlike_Damage_reduce_per_Kastellan_robot:
```
electroid_shielding (godlike)
electroid_shielding_b_Big_armours_techadept_Godlike_Damage_reduce_per_Kastellan_robot (biggodlike)
necromechanic_raiment (godlike)
necromechanic_raiment_b_Big_armours_techadept_Godlike_Damage_reduce_per_Kastellan_robot (biggodlike)
technomartyr_vestment (godlike)
technomartyr_vestment_b_Big_armours_techadept_Godlike_Damage_reduce_per_Kastellan_robot (biggodlike)
```


## Godlike_Damage_reduce_per_Minion:
```
electroid_shielding_b_Big_armours_techadept_Godlike_Damage_reduce_per_Minion (biggodlike)
necromechanic_raiment_b_Big_armours_techadept_Godlike_Damage_reduce_per_Minion (biggodlike)
technomartyr_vestment_b_Big_armours_techadept_Godlike_Damage_reduce_per_Minion (biggodlike)
```


## Godlike_Damage_reflect_on_Shield_Struck:
```
signum (godlike)
```


## Godlike_Datapool_per_kill:
```
arc_rifle_1skill (godlike)
arc_rifle_1skill_b_BIG_weapons_techadept_Godlike_Datapool_per_kill (biggodlike)
arc_rifle_2skill (godlike)
arc_rifle_2skill_b_BIG_weapons_techadept_Godlike_Datapool_per_kill (biggodlike)
omnissian_axe_1skill (godlike)
omnissian_axe_1skill_b_BIG_weapons_techadept_Godlike_Datapool_per_kill (biggodlike)
omnissian_axe_2skill (godlike)
omnissian_axe_2skill_b_BIG_weapons_techadept_Godlike_Datapool_per_kill (biggodlike)
radium_carbine_1skill (godlike)
radium_carbine_1skill_b_BIG_weapons_techadept_Godlike_Datapool_per_kill (biggodlike)
radium_carbine_2skill (godlike)
radium_carbine_2skill_b_BIG_weapons_techadept_Godlike_Datapool_per_kill (biggodlike)
voltaic_axe_1skill (godlike)
voltaic_axe_1skill_b_BIG_weapons_techadept_Godlike_Datapool_per_kill (biggodlike)
voltaic_axe_2skill (godlike)
voltaic_axe_2skill_b_BIG_weapons_techadept_Godlike_Datapool_per_kill (biggodlike)
```


## Godlike_Datapool_per_kill_on_high_reserve:
```
arc_rifle_1skill (godlike)
arc_rifle_1skill_b_BIG_weapons_techadept_Godlike_Datapool_per_kill_on_high_reserve (biggodlike)
arc_rifle_2skill (godlike)
arc_rifle_2skill_b_BIG_weapons_techadept_Godlike_Datapool_per_kill_on_high_reserve (biggodlike)
omnissian_axe_1skill (godlike)
omnissian_axe_1skill_b_BIG_weapons_techadept_Godlike_Datapool_per_kill_on_high_reserve (biggodlike)
omnissian_axe_2skill (godlike)
omnissian_axe_2skill_b_BIG_weapons_techadept_Godlike_Datapool_per_kill_on_high_reserve (biggodlike)
radium_carbine_1skill (godlike)
radium_carbine_1skill_b_BIG_weapons_techadept_Godlike_Datapool_per_kill_on_high_reserve (biggodlike)
radium_carbine_2skill (godlike)
radium_carbine_2skill_b_BIG_weapons_techadept_Godlike_Datapool_per_kill_on_high_reserve (biggodlike)
voltaic_axe_1skill (godlike)
voltaic_axe_1skill_b_BIG_weapons_techadept_Godlike_Datapool_per_kill_on_high_reserve (biggodlike)
voltaic_axe_2skill (godlike)
voltaic_axe_2skill_b_BIG_weapons_techadept_Godlike_Datapool_per_kill_on_high_reserve (biggodlike)
```


## Godlike_Debuff_duration_in_Exposed:
```
main_implant (godlike)
```


## Godlike_Debuff_duration_in_Focused:
```
wardrug_basic (godlike)
```


## Godlike_Dodge_in_red:
```
belt_deflector_field_generator (godlike)
belt_digital_weapons (godlike)
belt_fabricator_scatter_field (godlike)
belt_frag_grenade (godlike)
belt_fuse_delayed_grenade (godlike)
belt_personal_teleporter (godlike)
belt_personal_void_shield (godlike)
belt_psyker (godlike)
belt_refractor_field (godlike)
belt_remote_mine (godlike)
belt_rosarius_force_field (godlike)
belt_stun_grenade (godlike)
belt_stun_mine (godlike)
belt_technomartyr_girdle (godlike)
```


## Godlike_Dot_Bleed_in_Berserk_special:
```
purity_seal (godlike)
```


## Godlike_Enraged_on_Crit:
```
neural_implant (godlike)
```


## Godlike_Enraged_on_kill:
```
purity_seal (godlike)
signum (godlike)
```


## Godlike_Enraged_on_struck:
```
assault_armor_a_Enrage_armour (ancient)
demolition_armor_a_Enrage_armour (ancient)
fabricator_distortion_armour_a_Enrage_armour (ancient)
hololithic_armour_a_Enrage_armour (ancient)
main_implant_b_BIG_main_implant_Godlike_Enraged_on_struck (biggodlike)
neural_implant_b_BIG_neural_implant_Godlike_Enraged_on_struck (biggodlike)
sentinel_armor_a_Enrage_armour (ancient)
stealth_bodysuit_a_Enrage_armour (ancient)
```


## Godlike_Execution_buff_in_Focused:
```
main_implant_a_Execution_main_implant (ancient)
```


## Godlike_Exposed_bonus:
```
neural_implant_a_Exposed_neural (ancient)
purity_seal_b_BIG_purity_seal_Godlike_Exposed_bonus (biggodlike)
wardrug_basic_b_BIG_inoculator_Godlike_Exposed_bonus (biggodlike)
```


## Godlike_Fear_Aura_in_Enraged:
```
belt_deflector_field_generator (godlike)
belt_digital_weapons (godlike)
belt_fabricator_scatter_field (godlike)
belt_frag_grenade (godlike)
belt_fuse_delayed_grenade (godlike)
belt_personal_teleporter (godlike)
belt_personal_void_shield (godlike)
belt_psyker (godlike)
belt_refractor_field (godlike)
belt_remote_mine (godlike)
belt_rosarius_force_field (godlike)
belt_stun_grenade (godlike)
belt_stun_mine (godlike)
belt_technomartyr_girdle (godlike)
purity_seal (godlike)
purity_seal_a_Enrage_purity (ancient)
wardrug_basic (godlike)
```


## Godlike_Fear_duration:
```
belt_deflector_field_generator_a_Fear_belt (ancient)
belt_digital_weapons_a_Fear_belt (ancient)
belt_fabricator_scatter_field_a_Fear_belt (ancient)
belt_frag_grenade_a_Fear_belt (ancient)
belt_fuse_delayed_grenade_a_Fear_belt (ancient)
belt_personal_teleporter_a_Fear_belt (ancient)
belt_personal_void_shield_a_Fear_belt (ancient)
belt_psyker_a_Fear_belt (ancient)
belt_refractor_field_a_Fear_belt (ancient)
belt_remote_mine_a_Fear_belt (ancient)
belt_rosarius_force_field_a_Fear_belt (ancient)
belt_stun_grenade_a_Fear_belt (ancient)
belt_stun_mine_a_Fear_belt (ancient)
belt_technomartyr_girdle_a_Fear_belt (ancient)
eye_implant (godlike)
```


## Godlike_Fear_on_Hit_in_Focused:
```
belt_deflector_field_generator (godlike)
belt_digital_weapons (godlike)
belt_fabricator_scatter_field (godlike)
belt_frag_grenade (godlike)
belt_fuse_delayed_grenade (godlike)
belt_personal_teleporter (godlike)
belt_personal_void_shield (godlike)
belt_psyker (godlike)
belt_refractor_field (godlike)
belt_remote_mine (godlike)
belt_rosarius_force_field (godlike)
belt_stun_grenade (godlike)
belt_stun_mine (godlike)
belt_technomartyr_girdle (godlike)
```


## Godlike_Fear_on_Kill_in_Berserk:
```
eye_implant (godlike)
```


## Godlike_Focused_in_green:
```
main_implant_a_Focused_main_implant (ancient)
purity_seal_b_BIG_purity_seal_Godlike_Focused_in_green (biggodlike)
wardrug_basic_b_BIG_inoculator_Godlike_Focused_in_green (biggodlike)
```


## Godlike_Focused_in_High_HP:
```
aetherwalker_armour_a_Focused_armour (ancient)
assault_armor_a_Focused_armour (ancient)
demolition_armor_a_Focused_armour (ancient)
electroid_shielding_a_Focused_armour (ancient)
empyrean_armour_a_Focused_armour (ancient)
fabricator_distortion_armour_a_Focused_armour (ancient)
hololithic_armour_a_Focused_armour (ancient)
necromechanic_raiment_a_Focused_armour (ancient)
neural_implant (godlike)
sentinel_armor_a_Focused_armour (ancient)
stealth_bodysuit_a_Focused_armour (ancient)
technomartyr_vestment_a_Focused_armour (ancient)
wardrug_basic (godlike)
warpbound_armour_a_Focused_armour (ancient)
```


## Godlike_Focused_on_Crit_Kill:
```
wardrug_basic (godlike)
```


## Godlike_Focused_while_channeling:
```
main_implant (godlike)
purity_seal (godlike)
```


## Godlike_Heal_for_everyone_on_crit:
```

```


## Godlike_Heal_on_Crit:
```
main_implant_b_BIG_main_implant_Godlike_Heal_on_Crit (biggodlike)
neural_implant_b_BIG_neural_implant_Godlike_Heal_on_Crit (biggodlike)
signum_a_Crithit_signum (ancient)
wardrug_basic_b_BIG_inoculator_Godlike_Heal_on_Crit (biggodlike)
```


## Godlike_Heal_on_Minion_death:
```
electroid_shielding (godlike)
necromechanic_raiment (godlike)
technomartyr_vestment (godlike)
```


## Godlike_Heal_on_Shield_Struck:
```
wardrug_basic (godlike)
```


## Godlike_Heat_Vulnerability_efficiency:
```
eye_implant_b_s1_eye_of_combustion_Godlike_Heat_Vulnerability_efficiency (biggodlike)
```


## Godlike_Heat_Vulnerability_on_Burn:
```
belt_deflector_field_generator_b_s1_sash_of_melting_Godlike_Heat_Vulnerability_on_Burn (biggodlike)
belt_digital_weapons_b_s1_sash_of_melting_Godlike_Heat_Vulnerability_on_Burn (biggodlike)
belt_fabricator_scatter_field_b_s1_sash_of_melting_Godlike_Heat_Vulnerability_on_Burn (biggodlike)
belt_frag_grenade_b_s1_sash_of_melting_Godlike_Heat_Vulnerability_on_Burn (biggodlike)
belt_personal_void_shield_b_s1_sash_of_melting_Godlike_Heat_Vulnerability_on_Burn (biggodlike)
neural_implant_b_BIG_neural_implant_Godlike_Heat_Vulnerability_on_Burn (biggodlike)
signum_b_BIG_signum_Godlike_Heat_Vulnerability_on_Burn (biggodlike)
```


## Godlike_HP_on_minion_kill:
```
electroid_shielding (godlike)
electroid_shielding_b_Big_armours_techadept_Godlike_HP_on_minion_kill (biggodlike)
necromechanic_raiment (godlike)
necromechanic_raiment_b_Big_armours_techadept_Godlike_HP_on_minion_kill (biggodlike)
technomartyr_vestment (godlike)
technomartyr_vestment_b_Big_armours_techadept_Godlike_HP_on_minion_kill (biggodlike)
```


## Godlike_Hp_per_hit_for_everyone:
```
arc_rifle_1skill (godlike)
arc_rifle_2skill (godlike)
omnissian_axe_1skill (godlike)
omnissian_axe_2skill (godlike)
radium_carbine_1skill (godlike)
radium_carbine_2skill (godlike)
voltaic_axe_1skill (godlike)
voltaic_axe_2skill (godlike)
```


## Godlike_HP_per_hit_in_Exposed:
```
wardrug_basic (godlike)
```


## Godlike_HP_per_hit_per_Berserk:
```
belt_deflector_field_generator_b_BIG_belts_Godlike_HP_per_hit_per_Berserk (biggodlike)
belt_digital_weapons_b_BIG_belts_Godlike_HP_per_hit_per_Berserk (biggodlike)
belt_fabricator_scatter_field_b_BIG_belts_Godlike_HP_per_hit_per_Berserk (biggodlike)
belt_frag_grenade_b_BIG_belts_Godlike_HP_per_hit_per_Berserk (biggodlike)
belt_fuse_delayed_grenade_b_BIG_belts_Godlike_HP_per_hit_per_Berserk (biggodlike)
belt_personal_teleporter_b_BIG_belts_Godlike_HP_per_hit_per_Berserk (biggodlike)
belt_personal_void_shield_b_BIG_belts_Godlike_HP_per_hit_per_Berserk (biggodlike)
belt_psyker_b_BIG_belts_Godlike_HP_per_hit_per_Berserk (biggodlike)
belt_refractor_field_b_BIG_belts_Godlike_HP_per_hit_per_Berserk (biggodlike)
belt_remote_mine_b_BIG_belts_Godlike_HP_per_hit_per_Berserk (biggodlike)
belt_rosarius_force_field_b_BIG_belts_Godlike_HP_per_hit_per_Berserk (biggodlike)
belt_stun_grenade_b_BIG_belts_Godlike_HP_per_hit_per_Berserk (biggodlike)
belt_stun_mine_b_BIG_belts_Godlike_HP_per_hit_per_Berserk (biggodlike)
belt_technomartyr_girdle_b_BIG_belts_Godlike_HP_per_hit_per_Berserk (biggodlike)
main_implant_b_BIG_main_implant_Godlike_HP_per_hit_per_Berserk (biggodlike)
signum_b_BIG_signum_Godlike_HP_per_hit_per_Berserk (biggodlike)
```


## Godlike_HP_per_hit_per_Enraged:
```
belt_deflector_field_generator_b_BIG_belts_Godlike_HP_per_hit_per_Enraged (biggodlike)
belt_digital_weapons_b_BIG_belts_Godlike_HP_per_hit_per_Enraged (biggodlike)
belt_fabricator_scatter_field_b_BIG_belts_Godlike_HP_per_hit_per_Enraged (biggodlike)
belt_frag_grenade_b_BIG_belts_Godlike_HP_per_hit_per_Enraged (biggodlike)
belt_fuse_delayed_grenade_b_BIG_belts_Godlike_HP_per_hit_per_Enraged (biggodlike)
belt_personal_teleporter_b_BIG_belts_Godlike_HP_per_hit_per_Enraged (biggodlike)
belt_personal_void_shield_b_BIG_belts_Godlike_HP_per_hit_per_Enraged (biggodlike)
belt_psyker_b_BIG_belts_Godlike_HP_per_hit_per_Enraged (biggodlike)
belt_refractor_field_b_BIG_belts_Godlike_HP_per_hit_per_Enraged (biggodlike)
belt_remote_mine_b_BIG_belts_Godlike_HP_per_hit_per_Enraged (biggodlike)
belt_rosarius_force_field_b_BIG_belts_Godlike_HP_per_hit_per_Enraged (biggodlike)
belt_stun_grenade_b_BIG_belts_Godlike_HP_per_hit_per_Enraged (biggodlike)
belt_stun_mine_b_BIG_belts_Godlike_HP_per_hit_per_Enraged (biggodlike)
belt_technomartyr_girdle_b_BIG_belts_Godlike_HP_per_hit_per_Enraged (biggodlike)
eye_implant_b_BIG_eye_implant_Godlike_HP_per_hit_per_Enraged (biggodlike)
main_implant_b_BIG_main_implant_Godlike_HP_per_hit_per_Enraged (biggodlike)
```


## Godlike_HP_regen_per_Active_vulnerability:
```
wardrug_basic (godlike)
```


## Godlike_HP_regen_per_Berserk:
```
purity_seal (godlike)
wardrug_basic (godlike)
```


## Godlike_HP_regen_percent_special:
```
electroid_shielding (godlike)
electroid_shielding_b_Big_armours_techadept_Godlike_HP_regen_percent_special (biggodlike)
necromechanic_raiment (godlike)
necromechanic_raiment_b_Big_armours_techadept_Godlike_HP_regen_percent_special (biggodlike)
technomartyr_vestment (godlike)
technomartyr_vestment_b_Big_armours_techadept_Godlike_HP_regen_percent_special (biggodlike)
```


## Godlike_HP_Suppression_on_Kill_in_Berserk:
```
main_implant (godlike)
```


## Godlike_Inoculator_duration_while_Shielded:
```
wardrug_basic (godlike)
```


## Godlike_Invulnerability_on_Big_Struck:
```
purity_seal_b_BIG_purity_seal_Godlike_Invulnerability_on_Big_Struck (biggodlike)
wardrug_basic_b_BIG_inoculator_Godlike_Invulnerability_on_Big_Struck (biggodlike)
```


## Godlike_Invulnerability_on_kill_in_Exposed:
```

```


## Godlike_Knockback_on_hit_against_Afraid:
```
wardrug_basic (godlike)
```


## Godlike_Lower_suppression_damage_on_only_Shield_Struck:
```
neural_implant_b_BIG_neural_implant_Godlike_Lower_suppression_damage_on_only_Shield_Struck (biggodlike)
purity_seal_b_BIG_purity_seal_Godlike_Lower_suppression_damage_on_only_Shield_Struck (biggodlike)
wardrug_basic_b_BIG_inoculator_Godlike_Lower_suppression_damage_on_only_Shield_Struck (biggodlike)
```


## Godlike_Minion_damage_on_kill:
```
arc_rifle_1skill_b_BIG_weapons_techadept_Godlike_Minion_damage_on_kill (biggodlike)
arc_rifle_2skill_b_BIG_weapons_techadept_Godlike_Minion_damage_on_kill (biggodlike)
omnissian_axe_1skill_b_BIG_weapons_techadept_Godlike_Minion_damage_on_kill (biggodlike)
omnissian_axe_2skill_b_BIG_weapons_techadept_Godlike_Minion_damage_on_kill (biggodlike)
radium_carbine_1skill_b_BIG_weapons_techadept_Godlike_Minion_damage_on_kill (biggodlike)
radium_carbine_2skill_b_BIG_weapons_techadept_Godlike_Minion_damage_on_kill (biggodlike)
voltaic_axe_1skill_b_BIG_weapons_techadept_Godlike_Minion_damage_on_kill (biggodlike)
voltaic_axe_2skill_b_BIG_weapons_techadept_Godlike_Minion_damage_on_kill (biggodlike)
```


## Godlike_Miss_chance_for_Afraid:
```
eye_implant_b_BIG_eye_implant_Godlike_Miss_chance_for_Afraid (biggodlike)
neural_implant_b_BIG_neural_implant_Godlike_Miss_chance_for_Afraid (biggodlike)
signum_a_Fear_signum (ancient)
```


## Godlike_Miss_Chance_for_Shock:
```
neural_implant_b_BIG_neural_implant_Godlike_Miss_Chance_for_Shock (biggodlike)
purity_seal_b_BIG_purity_seal_Godlike_Miss_Chance_for_Shock (biggodlike)
wardrug_basic_b_BIG_inoculator_Godlike_Miss_Chance_for_Shock (biggodlike)
```


## Godlike_Movement_HP_regen_buff_on_Big_Struck:
```
neural_implant (godlike)
```


## Godlike_Movement_speed_in_Berserk:
```
neural_implant (godlike)
```


## Godlike_Movement_speed_in_Focused:
```
neural_implant (godlike)
```


## Godlike_Movement_speed_in_green:
```
belt_deflector_field_generator_b_BIG_belts_Godlike_Movement_speed_in_green (biggodlike)
belt_digital_weapons_b_BIG_belts_Godlike_Movement_speed_in_green (biggodlike)
belt_fabricator_scatter_field_b_BIG_belts_Godlike_Movement_speed_in_green (biggodlike)
belt_frag_grenade_b_BIG_belts_Godlike_Movement_speed_in_green (biggodlike)
belt_fuse_delayed_grenade_b_BIG_belts_Godlike_Movement_speed_in_green (biggodlike)
belt_personal_teleporter_b_BIG_belts_Godlike_Movement_speed_in_green (biggodlike)
belt_personal_void_shield_b_BIG_belts_Godlike_Movement_speed_in_green (biggodlike)
belt_psyker_b_BIG_belts_Godlike_Movement_speed_in_green (biggodlike)
belt_refractor_field_b_BIG_belts_Godlike_Movement_speed_in_green (biggodlike)
belt_remote_mine_b_BIG_belts_Godlike_Movement_speed_in_green (biggodlike)
belt_rosarius_force_field_b_BIG_belts_Godlike_Movement_speed_in_green (biggodlike)
belt_stun_grenade_b_BIG_belts_Godlike_Movement_speed_in_green (biggodlike)
belt_stun_mine_b_BIG_belts_Godlike_Movement_speed_in_green (biggodlike)
belt_technomartyr_girdle_b_BIG_belts_Godlike_Movement_speed_in_green (biggodlike)
eye_implant_b_BIG_eye_implant_Godlike_Movement_speed_in_green (biggodlike)
neural_implant_b_BIG_neural_implant_Godlike_Movement_speed_in_green (biggodlike)
purity_seal_a_Green_suppression_purity (ancient)
```


## Godlike_Movement_speed_per_Active_vulnerability:
```

```


## Godlike_Movement_speed_while_Shielded:
```
neural_implant (godlike)
```


## Godlike_Physical_resist_in_Exposed:
```
purity_seal (godlike)
```


## Godlike_Poidon_damage:
```
aetherwalker_armour_a_Poison_armour (ancient)
assault_armor_a_Poison_armour (ancient)
demolition_armor_a_Poison_armour (ancient)
empyrean_armour_a_Poison_armour (ancient)
fabricator_distortion_armour_a_Poison_armour (ancient)
hololithic_armour_a_Poison_armour (ancient)
main_implant (godlike)
neural_implant (godlike)
sentinel_armor_a_Poison_armour (ancient)
stealth_bodysuit_a_Poison_armour (ancient)
warpbound_armour_a_Poison_armour (ancient)
```


## Godlike_Poison_damage_against_Bleeding:
```
wardrug_basic (godlike)
```


## Godlike_Poison_damage_per_Physical_vulnerability:
```

```


## Godlike_Poison_duration_dot_long:
```
eye_implant (godlike)
```


## Godlike_Poison_on_Crit:
```
belt_deflector_field_generator (godlike)
belt_digital_weapons (godlike)
belt_fabricator_scatter_field (godlike)
belt_frag_grenade (godlike)
belt_fuse_delayed_grenade (godlike)
belt_personal_teleporter (godlike)
belt_personal_void_shield (godlike)
belt_psyker (godlike)
belt_refractor_field (godlike)
belt_remote_mine (godlike)
belt_rosarius_force_field (godlike)
belt_stun_grenade (godlike)
belt_stun_mine (godlike)
belt_technomartyr_girdle (godlike)
main_implant (godlike)
signum_a_Poison_signum (ancient)
```


## Godlike_Poison_on_Physical_Hit:
```
signum (godlike)
```


## Godlike_Ranged_damage_per_Turret:
```
arc_rifle_1skill (godlike)
arc_rifle_2skill (godlike)
radium_carbine_1skill (godlike)
radium_carbine_2skill (godlike)
```


## Godlike_Reserve:
```
electroid_shielding_b_Big_armours_techadept_Godlike_Reserve (biggodlike)
necromechanic_raiment_b_Big_armours_techadept_Godlike_Reserve (biggodlike)
technomartyr_vestment_b_Big_armours_techadept_Godlike_Reserve (biggodlike)
```


## Godlike_Resist_equalizer_in_Berserk:
```
aetherwalker_armour_a_Berserk_armour (ancient)
assault_armor_a_Berserk_armour (ancient)
demolition_armor_a_Berserk_armour (ancient)
empyrean_armour_a_Berserk_armour (ancient)
fabricator_distortion_armour_a_Berserk_armour (ancient)
hololithic_armour_a_Berserk_armour (ancient)
sentinel_armor_a_Berserk_armour (ancient)
stealth_bodysuit_a_Berserk_armour (ancient)
warpbound_armour_a_Berserk_armour (ancient)
```


## Godlike_Resource_cost_in_Focused:
```
eye_implant (godlike)
force_rod_2_a_Focused_weapon_Psyker (ancient)
force_rod_3_a_Focused_weapon_Psyker (ancient)
force_rod_a_Focused_weapon_Psyker (ancient)
force_staff_2_a_Focused_weapon_Psyker (ancient)
force_staff_3_a_Focused_weapon_Psyker (ancient)
force_staff_a_Focused_weapon_Psyker (ancient)
force_sword_2_a_Focused_weapon_Psyker (ancient)
force_sword_3_a_Focused_weapon_Psyker (ancient)
force_sword_a_Focused_weapon_Psyker (ancient)
```


## Godlike_Shield_HP_max:
```
belt_deflector_field_generator (godlike)
belt_personal_void_shield (godlike)
```


## Godlike_Shield_HP_per_kill:
```
main_implant (godlike)
main_implant_a_Shield_main_implant (ancient)
```


## Godlike_Shield_HP_per_resource:
```
assault_armor_a_Shield_armour (ancient)
demolition_armor_a_Shield_armour (ancient)
fabricator_distortion_armour_a_Shield_armour (ancient)
hololithic_armour_a_Shield_armour (ancient)
purity_seal_b_BIG_purity_seal_Godlike_Shield_HP_per_resource (biggodlike)
sentinel_armor_a_Shield_armour (ancient)
stealth_bodysuit_a_Shield_armour (ancient)
wardrug_basic_b_BIG_inoculator_Godlike_Shield_HP_per_resource (biggodlike)
```


## Godlike_Shock_Aura_in_Enraged:
```
belt_deflector_field_generator_b_BIG_belts_Godlike_Shock_Aura_in_Enraged (biggodlike)
belt_digital_weapons_b_BIG_belts_Godlike_Shock_Aura_in_Enraged (biggodlike)
belt_fabricator_scatter_field_b_BIG_belts_Godlike_Shock_Aura_in_Enraged (biggodlike)
belt_frag_grenade_b_BIG_belts_Godlike_Shock_Aura_in_Enraged (biggodlike)
belt_fuse_delayed_grenade_b_BIG_belts_Godlike_Shock_Aura_in_Enraged (biggodlike)
belt_personal_teleporter_b_BIG_belts_Godlike_Shock_Aura_in_Enraged (biggodlike)
belt_personal_void_shield_b_BIG_belts_Godlike_Shock_Aura_in_Enraged (biggodlike)
belt_psyker_b_BIG_belts_Godlike_Shock_Aura_in_Enraged (biggodlike)
belt_refractor_field_b_BIG_belts_Godlike_Shock_Aura_in_Enraged (biggodlike)
belt_remote_mine_b_BIG_belts_Godlike_Shock_Aura_in_Enraged (biggodlike)
belt_rosarius_force_field_b_BIG_belts_Godlike_Shock_Aura_in_Enraged (biggodlike)
belt_stun_grenade_b_BIG_belts_Godlike_Shock_Aura_in_Enraged (biggodlike)
belt_stun_mine_b_BIG_belts_Godlike_Shock_Aura_in_Enraged (biggodlike)
belt_technomartyr_girdle_b_BIG_belts_Godlike_Shock_Aura_in_Enraged (biggodlike)
eye_implant_b_BIG_eye_implant_Godlike_Shock_Aura_in_Enraged (biggodlike)
main_implant_b_BIG_main_implant_Godlike_Shock_Aura_in_Enraged (biggodlike)
```


## Godlike_Shock_on_Bleeding:
```
belt_deflector_field_generator_b_BIG_belts_Godlike_Shock_on_Bleeding (biggodlike)
belt_digital_weapons_b_BIG_belts_Godlike_Shock_on_Bleeding (biggodlike)
belt_fabricator_scatter_field_b_BIG_belts_Godlike_Shock_on_Bleeding (biggodlike)
belt_frag_grenade_b_BIG_belts_Godlike_Shock_on_Bleeding (biggodlike)
belt_fuse_delayed_grenade_b_BIG_belts_Godlike_Shock_on_Bleeding (biggodlike)
belt_personal_teleporter_b_BIG_belts_Godlike_Shock_on_Bleeding (biggodlike)
belt_personal_void_shield_b_BIG_belts_Godlike_Shock_on_Bleeding (biggodlike)
belt_psyker_b_BIG_belts_Godlike_Shock_on_Bleeding (biggodlike)
belt_refractor_field_b_BIG_belts_Godlike_Shock_on_Bleeding (biggodlike)
belt_remote_mine_b_BIG_belts_Godlike_Shock_on_Bleeding (biggodlike)
belt_rosarius_force_field_b_BIG_belts_Godlike_Shock_on_Bleeding (biggodlike)
belt_stun_grenade_b_BIG_belts_Godlike_Shock_on_Bleeding (biggodlike)
belt_stun_mine_b_BIG_belts_Godlike_Shock_on_Bleeding (biggodlike)
belt_technomartyr_girdle_b_BIG_belts_Godlike_Shock_on_Bleeding (biggodlike)
```


## Godlike_Shock_on_Burn:
```
belt_deflector_field_generator_b_BIG_belts_Godlike_Shock_on_Burn (biggodlike)
belt_digital_weapons_b_BIG_belts_Godlike_Shock_on_Burn (biggodlike)
belt_fabricator_scatter_field_b_BIG_belts_Godlike_Shock_on_Burn (biggodlike)
belt_frag_grenade_b_BIG_belts_Godlike_Shock_on_Burn (biggodlike)
